title,article_url,source,source_url,posted_time,relative_time,tags,scraped_at
"AWS, General Catalyst advance AI tools to support healthcare",https://www.techinasia.com/news/aws-general-catalyst-advance-ai-tools-support-healthcare,CNBC,https://www.cnbc.com/2025/01/13/health-care-ai-aws-and-general-catalyst-partner-to-speed-development.html,"6:05 PM at Jan 14, 2025",2h ago,AI,2025-01-14 20:40:09
Trump likely to keep US AI chip export restrictions,https://www.techinasia.com/news/trump-set-ai-chip-export-restrictions,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-13/trump-likely-to-maintain-new-ai-chip-controls-top-biden-aide-jake-sullivan-says,"5:56 PM at Jan 14, 2025",2h ago,"AI, China",2025-01-14 20:40:09
OpenAI urges action to maintain US AI leadership,https://www.techinasia.com/news/openai-urges-action-maintain-ai-leadership,Reuters,https://www.reuters.com/technology/artificial-intelligence/openai-urges-us-prioritize-ai-funding-regulation-stay-ahead-china-2025-01-13/,"3:38 PM at Jan 14, 2025",5h ago,"AI, China",2025-01-14 20:40:09
TSMC Q4 profit set to surge 58% on strong AI chip demand,https://www.techinasia.com/news/tsmc-q4-profit-set-surge-58-strong-ai-chip-demand,Reuters,https://www.reuters.com/technology/tsmc-fourth-quarter-profit-seen-jumping-58-strong-ai-chip-demand-2025-01-13/,"3:15 PM at Jan 14, 2025",5h ago,AI,2025-01-14 20:40:09
PUBG maker Krafton to invest $136m in game studios,https://www.techinasia.com/news/pubg-maker-to-invest-136m-game-studios,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-13/-pubg-developer-plans-a-spending-spree-in-search-of-more-hits?srnd=phx-technology,"1:02 PM at Jan 14, 2025",7h ago,"AI, Investments",2025-01-14 20:40:09
Microsoft forms new engineering group to boost AI tools,https://www.techinasia.com/news/microsoft-forms-engineering-group-boost-ai-tools,The Verge,https://www.theverge.com/2025/1/13/24342793/microsoft-ai-engineering-group-coreai-jay-parikh,"12:26 PM at Jan 14, 2025",8h ago,AI,2025-01-14 20:40:09
"US tighten AI chip exports, targets China",https://www.techinasia.com/news/tighten-ai-chip-exports-targets-china,Reuters,https://www.reuters.com/technology/artificial-intelligence/us-tightens-its-grip-ai-chip-flows-across-globe-2025-01-13/,"10:51 AM at Jan 14, 2025",9h ago,AI,2025-01-14 20:40:09
Indonesian AI character generator nets $5m seed,https://www.techinasia.com/news/indonesian-digital-character-generator-nets-seed,Bythen,https://www.bythen.ai/,"10:00 AM at Jan 14, 2025",10h ago,"AI, Investments",2025-01-14 20:40:09
Google’s AI agent enhances voice assist in Mercedes CLA,https://www.techinasia.com/news/googles-automotive-agent-enhances-voice-assist-mercedes-cla,Google,https://blog.google/feed/mercedes-google-cloud-automotive-ai-agent/,"9:45 AM at Jan 14, 2025",10h ago,AI,2025-01-14 20:40:09
Adobe launches new AI tool for bulk image editing,https://www.techinasia.com/news/adobe-launches-ai-tool-bulk-image-editing,The Verge,https://www.theverge.com/2025/1/13/24342622/adobe-firefly-bulk-create-api-announcement-availability,"8:45 AM at Jan 14, 2025",11h ago,AI,2025-01-14 20:40:09
Chinese AI startup DeepSeek launches free iOS app,https://www.techinasia.com/news/chinese-ai-startup-deepseek-launches-free-ios-app,Pandaily,https://pandaily.com/ai-assistant-deepseek-official-app-launched/,"8:15 AM at Jan 14, 2025",12h ago,"AI, China",2025-01-14 20:40:09
"South Korea boosts AI, semiconductor ties with Israel, Japan",https://www.techinasia.com/news/south-korea-boosts-ai-semiconductor-ties-israel-japan,Yonhap,https://en.yna.co.kr/view/AEN20250113000900320,"4:20 PM at Jan 13, 2025",1d ago,AI,2025-01-14 20:40:09
SK Telecom launches GPUaaS for South Korea’s AI data center,https://www.techinasia.com/news/sk-telecom-launches-gpuaas-south-koreas-ai-data-center,SK Telecom,http://www.linkedin.com/company/sk-telecom,"3:09 PM at Jan 13, 2025",1d ago,AI,2025-01-14 20:40:09
YouTubers sell unused video footage to AI firms,https://www.techinasia.com/news/youtubers-sell-unused-video-footage-ai-firms,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-10/youtubers-are-selling-their-unused-video-footage-to-ai-companies?srnd=phx-technology,"2:54 PM at Jan 13, 2025",1d ago,AI,2025-01-14 20:40:09
Singtel launches Perplexity Pro AI with free year access,https://www.techinasia.com/news/singtel-launches-perplexity-pro-ai-free-year-access,Singtel,https://www.singtel.com/personal/my-account/rewards-perplexity,"11:57 AM at Jan 13, 2025",1d ago,"AI, Singapore",2025-01-14 20:40:09
