article_id,title,article_url,source,source_url,image_url,posted_time,posted_time_iso,relative_time,categories,tags,scraped_at
ytl-sea-launch-malaysias-aipowered-digital-bank,"Ytl, Sea launch Malaysia’s first AI-powered digital bank",https://www.techinasia.com/news/ytl-sea-launch-malaysias-aipowered-digital-bank,Ryt Bank,https://www.linkedin.com/company/rytbankmy/,https://cdn.techinasia.com/wp-content/uploads/2024/07/1722327888_menara-ytl-kl-750x422.png,"11:08 AM at Jan 15, 2025",2025-01-15T11:08:00,2h ago,"AI,Fintech",Malaysia,2025-01-15 13:11:08
taiwanese-startup-metai-raises-4m-seed-funding,Taiwanese startup MetAI raises $4m seed funding,https://www.techinasia.com/news/taiwanese-startup-metai-raises-4m-seed-funding,MetAI,https://www.met-ai.net/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736894729_MetAI.png,"11:00 AM at Jan 15, 2025",2025-01-15T11:00:00,2h ago,"AI,Investments",,2025-01-15 13:11:08
saudi-firm-halo-ai-secures-6m-global-expansion,Saudi firm Halo AI secures $6m for global expansion,https://www.techinasia.com/news/saudi-firm-halo-ai-secures-6m-global-expansion,Arab News,https://www.arabnews.com/node/2586359/business-economy,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736482663_shutterstock_2308739453-750x499.jpg,"10:05 AM at Jan 15, 2025",2025-01-15T10:05:00,3h ago,"AI,Investments",,2025-01-15 13:11:08
israeli-cybersecurity-startup-raises-36m-seed-funding,Israeli cybersecurity startup raises $36m seed funding,https://www.techinasia.com/news/israeli-cybersecurity-startup-raises-36m-seed-funding,Calcalist,https://www.calcalistech.com/ctechnews/article/bkot3kmwyl,https://cdn.techinasia.com/wp-content/uploads/2024/12/1735011218_shutterstock_1956837997-750x553.jpg,"10:00 AM at Jan 15, 2025",2025-01-15T10:00:00,3h ago,"AI,Investments",,2025-01-15 13:11:08
biden-signs-order-ai-data-centers-usmade-chips,"Biden signs order for AI data centers, US-made chips",https://www.techinasia.com/news/biden-signs-order-ai-data-centers-usmade-chips,CNBC,https://www.cnbc.com/2025/01/14/biden-opens-federal-land-for-ai-data-centers-sets-developer-rules.html,https://cdn.techinasia.com/wp-content/uploads/2023/06/1687941555_shutterstock_2286344107-750x500.jpg,"9:00 AM at Jan 15, 2025",2025-01-15T09:00:00,4h ago,AI,,2025-01-15 13:11:08
aws-general-catalyst-advance-ai-tools-support-healthcare,"AWS, General Catalyst advance AI tools to support healthcare",https://www.techinasia.com/news/aws-general-catalyst-advance-ai-tools-support-healthcare,CNBC,https://www.cnbc.com/2025/01/13/health-care-ai-aws-and-general-catalyst-partner-to-speed-development.html,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736413903_shutterstock_1489195400-750x500.jpg,"6:05 PM at Jan 14, 2025",2025-01-14T18:05:00,19h ago,AI,,2025-01-15 13:11:08
trump-set-ai-chip-export-restrictions,Trump likely to keep US AI chip export restrictions,https://www.techinasia.com/news/trump-set-ai-chip-export-restrictions,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-13/trump-likely-to-maintain-new-ai-chip-controls-top-biden-aide-jake-sullivan-says,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736341611_shutterstock_2434408241-750x502.jpg,"5:56 PM at Jan 14, 2025",2025-01-14T17:56:00,19h ago,AI,China,2025-01-15 13:11:08
openai-urges-action-maintain-ai-leadership,OpenAI urges action to maintain US AI leadership,https://www.techinasia.com/news/openai-urges-action-maintain-ai-leadership,Reuters,https://www.reuters.com/technology/artificial-intelligence/openai-urges-us-prioritize-ai-funding-regulation-stay-ahead-china-2025-01-13/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736148915_shutterstock_2511421515-750x494.jpg,"3:38 PM at Jan 14, 2025",2025-01-14T15:38:00,21h ago,AI,China,2025-01-15 13:11:08
tsmc-q4-profit-set-surge-58-strong-ai-chip-demand,TSMC Q4 profit set to surge 58% on strong AI chip demand,https://www.techinasia.com/news/tsmc-q4-profit-set-surge-58-strong-ai-chip-demand,Reuters,https://www.reuters.com/technology/tsmc-fourth-quarter-profit-seen-jumping-58-strong-ai-chip-demand-2025-01-13/,https://cdn.techinasia.com/wp-content/uploads/2025/01/1736217646_shutterstock_2486598645-750x500.jpg,"3:15 PM at Jan 14, 2025",2025-01-14T15:15:00,21h ago,AI,,2025-01-15 13:11:08
pubg-maker-to-invest-136m-game-studios,PUBG maker Krafton to invest $136m in game studios,https://www.techinasia.com/news/pubg-maker-to-invest-136m-game-studios,Bloomberg,https://www.bloomberg.com/news/articles/2025-01-13/-pubg-developer-plans-a-spending-spree-in-search-of-more-hits?srnd=phx-technology,https://cdn.techinasia.com/wp-content/uploads/2022/07/1659095975_nbazhjy7wm3ehegpohqa-750x422.jpeg,"1:02 PM at Jan 14, 2025",2025-01-14T13:02:00,1d ago,"AI,Investments",,2025-01-15 13:11:08
